service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
CALEND-402-Κυριακή-06,0,0,0,0,0,0,1,20161204,20170625
CALEND-402-Σάββατο-08,0,0,0,0,0,1,0,20161203,20170701
CALEND-404-Δευ-Σαβ-01,1,1,1,1,1,1,0,20161201,20170701
CALEND-405-Καθημερινή-10,1,1,1,1,1,0,0,20161201,20170630
CALEND-405-Κυριακή-08,0,0,0,0,0,0,1,20161204,20170625
CALEND-405-Σάββατο-11,0,0,0,0,0,1,0,20161203,20170701
CALEND-406-Καθημερινή-11,1,1,1,1,1,0,0,20161201,20170630
CALEND-406-Κυριακή-11,0,0,0,0,0,0,1,20161204,20170625
CALEND-406-Σάββατο-11,0,0,0,0,0,1,0,20161203,20170701
CALEND-407-Καθημερινή-11,1,1,1,1,1,0,0,20161201,20170630
CALEND-407-Κυριακή-08,0,0,0,0,0,0,1,20161204,20170625
CALEND-407-Σάββατο-09,0,0,0,0,0,1,0,20161203,20170701
CALEND-409-413-Καθημερινή-05,1,1,1,1,1,0,0,20161201,20170630
CALEND-409-413-Κυριακή-05,0,0,0,0,0,0,1,20161204,20170625
CALEND-409-413-Σάββατο-05,0,0,0,0,0,1,0,20161203,20170701
CALEND-410-Καθημερινή-08,1,1,1,1,1,0,0,20161201,20170630
CALEND-410-Κυριακή-06,0,0,0,0,0,0,1,20161204,20170625
CALEND-410-Σάββατο-06,0,0,0,0,0,1,0,20161203,20170701
CALEND-411-Καθημερινή-12,1,1,1,1,1,0,0,20161201,20170630
CALEND-411-Κυριακή-09,0,0,0,0,0,0,1,20161204,20170625
CALEND-411-Σάββατο-11,0,0,0,0,0,1,0,20161203,20170701
CALEND-416-Καθημερινή-07,1,1,1,1,1,0,0,20161201,20170630
CALEND-416-Κυριακή-05,0,0,0,0,0,0,1,20161204,20170625
CALEND-416-Σάββατο-05,0,0,0,0,0,1,0,20161203,20170701
CALEND-418-Καθημερινή-09,1,1,1,1,1,0,0,20161201,20170630
CALEND-418-Κυριακή-06,0,0,0,0,0,0,1,20161204,20170625
CALEND-418-Σάββατο-07,0,0,0,0,0,1,0,20161203,20170701
CALEND-420-Καθημερινή-08,1,1,1,1,1,0,0,20161201,20170630
CALEND-420-Κυριακή-06,0,0,0,0,0,0,1,20161204,20170625
CALEND-420-Σάββατο-06,0,0,0,0,0,1,0,20161203,20170701
CALEND-421-Καθημερινή-07,1,1,1,1,1,0,0,20161201,20170630
CALEND-421-Κυριακή-06,0,0,0,0,0,0,1,20161204,20170625
CALEND-421-Σάββατο-08,0,0,0,0,0,1,0,20161203,20170701
CALEND-444-Καθημερινή-06,1,1,1,1,1,0,0,20161201,20170630
CALEND-444-Κυριακή-01,0,0,0,0,0,0,1,20161204,20170625
CALEND-444-Σάββατο-04,0,0,0,0,0,1,0,20161203,20170701
CALEND-446-Καθημερινή-06,1,1,1,1,1,0,0,20161201,20170630
CALEND-446-Κυριακή-07,0,0,0,0,0,0,1,20161204,20170625
CALEND-446-Σάββατο-05,0,0,0,0,0,1,0,20161203,20170701
CALEND-447-Καθημερινή-14,1,1,1,1,1,0,0,20161201,20170630
CALEND-447-Κυριακή-09,0,0,0,0,0,0,1,20161204,20170625
CALEND-447-Σάββατο-09,0,0,0,0,0,1,0,20161203,20170701
CALEND-500-Καθημερινή-10,1,1,1,1,1,0,0,20161201,20170630
CALEND-500-Κυριακή-11,0,0,0,0,0,0,1,20161204,20170625
CALEND-500-Σάββατο-10,0,0,0,0,0,1,0,20161203,20170701
CALEND-501-527-Καθημερινή-07,1,1,1,1,1,0,0,20161201,20170630
CALEND-501-527-Κυριακή-05,0,0,0,0,0,0,1,20161204,20170625
CALEND-501-527-Σάββατο-05,0,0,0,0,0,1,0,20161203,20170701
CALEND-504-Καθημερινή-13,1,1,1,1,1,0,0,20161201,20170630
CALEND-504-Κυριακή-06,0,0,0,0,0,0,1,20161204,20170625
CALEND-504-Σάββατο-06,0,0,0,0,0,1,0,20161203,20170701
CALEND-541-Δευ-Σαβ-04,1,1,1,1,1,1,0,20161201,20170701
