shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
ΑΘΗΝΧΑΛΚ,38.0790139,23.7380164,558
ΑΘΗΝΧΑΛΚ,38.0627622,23.7354901,561
ΑΘΗΝΧΑΛΚ,38.0632704,23.735792,564
ΑΘΗΝΧΑΛΚ,38.0638783,23.7361656,567
ΑΘΗΝΧΑΛΚ,38.0645566,23.7365668,570
ΑΘΗΝΧΑΛΚ,38.057441,23.7333808,573
ΑΘΗΝΧΑΛΚ,38.0566278,23.7331968,576
ΑΘΗΝΧΑΛΚ,38.0576832,23.7334361,579
ΑΘΗΝΧΑΛΚ,38.0583917,23.7335506,582
ΑΘΗΝΧΑΛΚ,38.0566278,23.7331968,585
ΑΘΗΝΧΑΛΚ,38.0558383,23.7330464,588
ΑΘΗΝΧΑΛΚ,38.0547283,23.7328076,591
ΑΘΗΝΧΑΛΚ,38.0536693,23.7325958,594
ΑΘΗΝΧΑΛΚ,38.0532807,23.7325099,597
ΑΘΗΝΧΑΛΚ,38.0528625,23.7324107,600
ΑΘΗΝΧΑΛΚ,38.0524295,23.7323034,603
ΑΘΗΝΧΑΛΚ,38.0519648,23.7321854,606
ΑΘΗΝΧΑΛΚ,38.0510967,23.7319881,609
ΑΘΗΝΧΑΛΚ,38.0726999,23.7362137,612
ΑΘΗΝΧΑΛΚ,38.0729489,23.7360601,615
ΑΘΗΝΧΑΛΚ,38.0732017,23.7359193,618
ΑΘΗΝΧΑΛΚ,38.0733679,23.7358297,621
ΑΘΗΝΧΑΛΚ,38.0735699,23.7357274,624
ΑΘΗΝΧΑΛΚ,38.0737323,23.7356503,627
ΑΘΗΝΧΑΛΚ,38.0739289,23.7355673,630
ΑΘΗΝΧΑΛΚ,38.0741195,23.735495,633
ΑΘΗΝΧΑΛΚ,38.07431,23.7354294,636
ΑΘΗΝΧΑΛΚ,38.0745011,23.7353649,639
ΑΘΗΝΧΑΛΚ,38.0750795,23.7351909,642
ΑΘΗΝΧΑΛΚ,38.0754368,23.7350896,645
ΑΘΗΝΧΑΛΚ,38.0756195,23.7350482,648
ΑΘΗΝΧΑΛΚ,38.0757731,23.7350215,651
